project_name	publication_year	publication_doi	oil_reservoir	oil_wells	latitude	longitude	geo_loc_name	study_primary_focus	study_process	depth	temp	pH	salinity	API	NO3-	PO43-	SO42-	Ca2+	Mg2+	Na+	К+	Cl-	HCO3-	Acetate	sample_name	feature	material	collection_date	archive	archive_project	archive_accession
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_DoD9500_T50_b_16S	sea	seawater	2019	SRA	PRJNA704368	SRS8309082
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_DoD9500_T50_a_16S	sea	seawater	2019	SRA	PRJNA704368	SRS8309081
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_Do_T50_c_Meg	sea	seawater	2019	SRA	PRJNA704368	SRS8309079
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_Do_T50_b_Meg	sea	seawater	2019	SRA	PRJNA704368	SRS8309078
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_Do_T50_a_Meg	sea	seawater	2019	SRA	PRJNA704368	SRS8309077
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_Do_T50_c_16S	sea	seawater	2019	SRA	PRJNA704368	SRS8309076
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_Do_T50_b_16S	sea	seawater	2019	SRA	PRJNA704368	SRS8309075
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_Do_T50_a_16S	sea	seawater	2019	SRA	PRJNA704368	SRS8309074
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_DoD9500_T6_c_Meg	sea	seawater	2019	SRA	PRJNA704368	SRS8309073
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_DoD9500_T6_b_Meg	sea	seawater	2019	SRA	PRJNA704368	SRS8309072
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_DoD9500_T6_a_Meg	sea	seawater	2019	SRA	PRJNA704368	SRS8309071
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_DoD9500_T6_c_16S	sea	seawater	2019	SRA	PRJNA704368	SRS8309070
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_DoD9500_T6_b_16S	sea	seawater	2019	SRA	PRJNA704368	SRS8309092
Cao2022	2022	10.1128/aem.02151-21	Newfoundland	None	47.62	-52.66	Canada	ecology	bioremediation	10	25	unknown	unknown	None	unknown	unknown	None	None	None	None	None	None	None	unknown	OPP-MUN01_2019_MSW_DoD9500_T6_a_16S	sea	seawater	2019	SRA	PRJNA704368	SRS8309093
